iter	Passed	Remaining
591	11121	17057
592	11139	17037
593	11157	17018
594	11176	16999
595	11194	16980
596	11213	16961
597	11231	16941
598	11250	16921
599	11267	16901
600	11285	16881
601	11303	16861
602	11321	16842
603	11340	16822
604	11357	16802
605	11376	16783
606	11397	16767
607	11415	16748
608	11435	16730
609	11453	16710
610	11471	16690
611	11489	16671
612	11508	16652
613	11526	16633
614	11545	16613
615	11562	16593
616	11580	16572
617	11598	16552
618	11617	16534
619	11635	16515
620	11653	16495
621	11671	16475
622	11690	16456
623	11708	16436
624	11726	16417
625	11744	16397
626	11763	16378
627	11781	16358
628	11800	16340
629	11817	16319
630	11835	16299
631	11853	16279
632	11871	16260
633	11889	16240
634	11907	16220
635	11925	16200
636	11943	16180
637	11961	16161
638	11979	16141
639	11997	16121
640	12015	16101
641	12033	16081
642	12050	16061
643	12068	16041
644	12086	16021
645	12103	16000
646	12122	15981
647	12140	15962
648	12158	15943
649	12177	15924
650	12196	15905
651	12214	15886
652	12233	15867
653	12251	15848
654	12269	15828
655	12286	15808
656	12304	15788
657	12323	15769
658	12341	15750
659	12359	15730
660	12379	15713
661	12398	15694
662	12415	15674
663	12433	15654
664	12451	15634
665	12469	15614
666	12488	15595
667	12506	15576
668	12524	15557
669	12542	15537
670	12560	15517
671	12578	15498
672	12597	15479
673	12616	15461
674	12635	15443
675	12652	15422
676	12671	15403
677	12689	15384
678	12707	15365
679	12726	15346
680	12745	15327
681	12764	15309
682	12782	15290
683	12800	15270
684	12819	15252
685	12838	15233
686	12855	15213
687	12873	15193
688	12891	15174
689	12910	15155
690	12928	15136
691	12946	15116
692	12965	15098
693	12984	15080
694	13002	15060
695	13019	15040
696	13037	15020
697	13054	15000
698	13072	14980
699	13090	14961
700	13108	14941
701	13126	14922
702	13144	14902
703	13162	14882
704	13180	14863
705	13198	14843
706	13216	14824
707	13235	14805
708	13253	14786
709	13272	14767
710	13290	14748
711	13308	14728
712	13328	14711
713	13346	14692
714	13364	14673
715	13387	14658
716	13405	14639
717	13423	14620
718	13442	14601
719	13460	14582
720	13479	14563
721	13497	14544
722	13516	14525
723	13534	14506
724	13551	14486
725	13570	14467
726	13588	14448
727	13606	14429
728	13624	14409
729	13643	14390
730	13660	14371
731	13678	14351
732	13697	14332
733	13715	14313
734	13733	14294
735	13751	14274
736	13769	14255
737	13787	14235
738	13805	14216
739	13824	14197
740	13841	14177
741	13859	14158
742	13877	14139
743	13895	14120
744	13913	14100
745	13931	14080
746	13949	14061
747	13967	14042
748	13985	14022
749	14003	14003
750	14021	13983
751	14039	13964
752	14056	13944
753	14074	13925
754	14092	13906
755	14110	13886
756	14128	13867
757	14146	13847
758	14164	13828
759	14183	13809
760	14200	13790
761	14219	13771
762	14237	13752
763	14255	13732
764	14273	13713
765	14291	13694
766	14308	13674
767	14326	13654
768	14344	13635
769	14363	13617
770	14384	13600
771	14402	13581
772	14420	13562
773	14438	13543
774	14456	13523
775	14474	13504
776	14492	13485
777	14510	13466
778	14528	13447
779	14547	13428
780	14565	13409
781	14583	13390
782	14601	13371
783	14620	13352
784	14639	13333
785	14656	13313
786	14674	13294
787	14692	13275
788	14711	13256
789	14729	13238
790	14747	13218
791	14765	13199
792	14783	13179
793	14801	13160
794	14819	13142
795	14837	13122
796	14856	13104
797	14874	13085
798	14892	13066
799	14910	13047
800	14929	13028
801	14947	13009
802	14965	12989
803	14983	12970
804	15001	12951
805	15019	12932
806	15036	12912
807	15055	12893
808	15072	12874
809	15090	12855
810	15108	12836
811	15126	12816
812	15145	12798
813	15164	12780
814	15183	12761
815	15202	12742
816	15220	12723
817	15237	12704
818	15255	12685
819	15274	12666
820	15292	12647
821	15311	12628
822	15329	12610
823	15347	12591
824	15367	12573
825	15386	12555
826	15404	12536
827	15423	12517
828	15441	12498
829	15459	12479
830	15478	12460
831	15497	12442
832	15515	12423
833	15534	12404
834	15552	12385
835	15569	12366
836	15587	12347
837	15605	12328
838	15624	12309
839	15642	12290
840	15660	12271
841	15678	12252
842	15697	12233
843	15715	12214
844	15734	12196
845	15752	12177
846	15771	12158
847	15789	12139
848	15807	12121
849	15826	12102
850	15844	12083
851	15862	12064
852	15881	12046
853	15900	12028
854	15920	12010
855	15942	11994
856	15962	11976
857	15982	11959
858	16002	11941
859	16021	11922
860	16039	11903
861	16057	11885
862	16076	11866
863	16095	11847
864	16113	11829
865	16132	11810
866	16150	11791
867	16169	11772
868	16187	11754
869	16207	11736
870	16229	11720
871	16248	11702
872	16269	11684
873	16288	11666
874	16307	11648
875	16326	11630
876	16345	11611
877	16367	11595
878	16387	11577
879	16405	11558
880	16424	11540
881	16443	11521
882	16462	11503
883	16481	11484
884	16500	11466
885	16522	11450
886	16542	11432
887	16561	11413
888	16580	11395
889	16598	11376
890	16617	11358
891	16636	11339
892	16654	11320
893	16672	11301
894	16690	11282
895	16709	11263
896	16728	11245
897	16746	11226
898	16764	11207
899	16782	11188
900	16800	11169
901	16825	11154
902	16846	11137
903	16870	11122
904	16890	11104
905	16916	11090
906	16936	11073
907	16960	11057
908	16981	11040
909	17000	11022
910	17020	11004
911	17042	10988
912	17068	10973
913	17088	10956
914	17116	10943
915	17139	10927
916	17160	10910
917	17181	10892
918	17204	10877
919	17231	10863
920	17254	10847
921	17275	10829
922	17296	10812
923	17320	10796
924	17352	10786
925	17386	10777
926	17411	10762
927	17442	10751
928	17467	10736
929	17491	10720
930	17514	10704
931	17535	10686
932	17564	10674
933	17596	10663
934	17621	10648
935	17643	10631
936	17665	10614
937	17686	10596
938	17709	10580
939	17730	10562
940	17751	10545
941	17773	10528
942	17795	10511
943	17817	10494
944	17841	10478
945	17864	10461
946	17889	10446
947	17913	10430
948	17936	10414
949	17960	10398
950	17982	10380
951	18005	10364
952	18029	10348
953	18051	10331
954	18071	10313
955	18092	10295
956	18113	10277
957	18133	10259
958	18153	10241
959	18172	10222
960	18192	10203
961	18212	10185
962	18231	10166
963	18249	10147
964	18269	10128
965	18287	10109
966	18307	10090
967	18325	10071
968	18346	10053
969	18366	10035
970	18385	10016
971	18404	9997
972	18424	9979
973	18443	9960
974	18462	9941
975	18482	9922
976	18500	9903
977	18519	9884
978	18537	9865
979	18556	9846
980	18576	9827
981	18595	9808
982	18614	9790
983	18635	9772
984	18654	9753
985	18674	9735
986	18695	9717
987	18716	9699
988	18736	9680
989	18756	9662
990	18775	9643
991	18796	9625
992	18816	9607
993	18836	9588
994	18856	9570
995	18876	9551
996	18895	9533
997	18914	9514
998	18934	9495
999	18954	9477
1000	18973	9458
1001	18993	9440
1002	19013	9421
1003	19033	9402
1004	19052	9383
1005	19070	9364
1006	19089	9345
1007	19108	9326
1008	19127	9307
1009	19146	9288
1010	19164	9269
1011	19184	9250
1012	19202	9231
1013	19222	9212
1014	19241	9194
1015	19260	9175
1016	19279	9156
1017	19299	9138
1018	19319	9119
1019	19341	9101
1020	19363	9084
1021	19382	9065
1022	19401	9046
1023	19421	9027
1024	19440	9009
1025	19459	8990
1026	19478	8971
1027	19498	8952
1028	19516	8933
1029	19535	8914
1030	19554	8895
1031	19573	8876
1032	19592	8857
1033	19612	8839
1034	19633	8820
1035	19653	8802
1036	19674	8784
1037	19694	8765
1038	19714	8747
1039	19733	8728
1040	19754	8710
1041	19774	8691
1042	19794	8673
1043	19814	8654
1044	19833	8635
1045	19853	8616
1046	19871	8597
1047	19889	8578
1048	19908	8559
1049	19927	8540
1050	19946	8521
1051	19967	8503
1052	19986	8484
1053	20004	8464
1054	20023	8445
1055	20042	8427
1056	20061	8407
1057	20079	8388
1058	20099	8369
1059	20118	8351
1060	20136	8331
1061	20155	8312
1062	20174	8293
1063	20192	8274
1064	20212	8255
1065	20231	8236
1066	20250	8217
1067	20269	8198
1068	20288	8179
1069	20307	8160
1070	20326	8142
1071	20348	8124
1072	20366	8105
1073	20385	8085
1074	20404	8066
1075	20422	8047
1076	20441	8028
1077	20460	8009
1078	20480	7991
1079	20499	7971
1080	20517	7952
1081	20536	7933
1082	20555	7914
1083	20574	7895
1084	20595	7877
1085	20617	7859
1086	20640	7842
1087	20661	7823
1088	20680	7805
1089	20700	7786
1090	20721	7768
1091	20741	7749
1092	20763	7731
1093	20784	7713
1094	20803	7694
1095	20823	7675
1096	20844	7657
1097	20863	7638
1098	20882	7619
1099	20900	7600
1100	20919	7581
1101	20937	7561
1102	20957	7543
1103	20976	7524
1104	20995	7505
1105	21013	7485
1106	21032	7466
1107	21051	7447
1108	21069	7428
1109	21088	7409
1110	21106	7390
1111	21126	7371
1112	21146	7352
1113	21166	7334
1114	21185	7315
1115	21212	7298
1116	21237	7281
1117	21265	7266
1118	21290	7249
1119	21315	7232
1120	21344	7216
1121	21382	7203
1122	21407	7186
1123	21441	7172
1124	21462	7154
1125	21482	7135
1126	21503	7116
1127	21521	7097
1128	21539	7078
1129	21558	7058
1130	21577	7039
1131	21595	7020
1132	21614	7001
1133	21632	6981
1134	21650	6962
1135	21668	6943
1136	21686	6923
1137	21704	6904
1138	21722	6884
1139	21741	6865
1140	21759	6846
1141	21777	6826
1142	21795	6807
1143	21813	6788
1144	21832	6768
1145	21850	6749
1146	21868	6730
1147	21887	6711
1148	21905	6691
1149	21923	6672
1150	21942	6653
1151	21960	6633
1152	21978	6614
1153	21997	6595
1154	22015	6576
1155	22034	6556
1156	22052	6537
1157	22070	6518
1158	22088	6498
1159	22106	6479
1160	22125	6460
1161	22143	6441
1162	22161	6421
